project_name,client,revenue,cost,budget,status,date
Project Alpha,Northwind,12450,8200,9000,completed,2026-01-14
Project Beta,Acme Corp,9100,9800,9500,active,02/20/2026
Project Gamma,Globex,"$15,900","$10,400","$11,000",done,"March 8, 2026"
Project Delta,Initech,6750,4100,4500,pending,2026/04/01
Project Epsilon,Umbrella,11800,7200,6800,in progress,04-10-2026
Project Zeta,Wayne Enterprises,14500,8200,9000,completed,2026-01-22
Project Eta,Stark Industries,13200,7600,7800,done,2026-01-29
Project Theta,Wonka,9800,6100,6200,pending,2026-02-03
Project Iota,Tyrell,8700,5400,5600,active,2026-02-11
Project Kappa,Oscorp,15900,10400,10100,completed,2026-02-18
Project Lambda,Daily Planet,10250,6900,7200,todo,2026-02-25
Project Mu,Black Mesa,,4800,5000,active,2026-03-02
Project Nu,Massive Dynamic,11200,,7500,completed,2026-03-09
Project Xi,Pied Piper,"$18,250","$11,100","$10,800",in-progress,2026-03-16
Project Omicron,Monsters Inc,9650,7200,7000,pending,2026-03-21
Project Pi,Dunder Mifflin,7600,5100,,active,2026-03-26
Project Rho,Prestige Worldwide,14000,9400,9500,complete,2026-04-02
Project Sigma,Initrode,12100,12250,12000,active,2026-04-08
Project Tau,Hooli,10800,6900,7100,done,2026-04-14
Project Alpha,Northwind,12450,8200,9000,completed,2026-01-14
